date,metric,category,geography,unit,series_type,value
2012-07-01,Household spending,Alcoholic beverages and tobacco,Australia,$ Millions,Seasonally Adjusted,2566.8
2012-07-01,Household spending,Clothing and footwear,Australia,$ Millions,Seasonally Adjusted,2550.5
2012-07-01,Household spending,Discretionary,Australia,$ Millions,Seasonally Adjusted,28044.4
2012-07-01,Household spending,Food,Australia,$ Millions,Seasonally Adjusted,6705.4
2012-07-01,Household spending,Furnishings and household equipment,Australia,$ Millions,Seasonally Adjusted,3224.3
2012-07-01,Household spending,Goods,Australia,$ Millions,Seasonally Adjusted,24898.7
2012-07-01,Household spending,Health,Australia,$ Millions,Seasonally Adjusted,4161.9
2012-07-01,Household spending,"Hotels, cafes and restaurants",Australia,$ Millions,Seasonally Adjusted,4796.8
2012-07-01,Household spending,Miscellaneous goods and services,Australia,$ Millions,Seasonally Adjusted,4068.4
2012-07-01,Household spending,Non Discretionary,Australia,$ Millions,Seasonally Adjusted,15661.4
2012-07-01,Household spending,Recreation and culture,Australia,$ Millions,Seasonally Adjusted,7555.2
2012-07-01,Household spending,Services,Australia,$ Millions,Seasonally Adjusted,18807.0
2012-07-01,Household spending,Total (Household Spending Categories),Australia,$ Millions,Seasonally Adjusted,43705.7
2012-07-01,Household spending,Transport,Australia,$ Millions,Seasonally Adjusted,8076.5
2012-07-01,Household spending,Alcoholic beverages and tobacco,Australian Capital Territory,$ Millions,Seasonally Adjusted,36.4
2012-07-01,Household spending,Clothing and footwear,Australian Capital Territory,$ Millions,Seasonally Adjusted,46.3
2012-07-01,Household spending,Discretionary,Australian Capital Territory,$ Millions,Seasonally Adjusted,526.3
2012-07-01,Household spending,Food,Australian Capital Territory,$ Millions,Seasonally Adjusted,143.4
2012-07-01,Household spending,Furnishings and household equipment,Australian Capital Territory,$ Millions,Seasonally Adjusted,54.4
2012-07-01,Household spending,Goods,Australian Capital Territory,$ Millions,Seasonally Adjusted,441.8
2012-07-01,Household spending,Health,Australian Capital Territory,$ Millions,Seasonally Adjusted,57.3
2012-07-01,Household spending,"Hotels, cafes and restaurants",Australian Capital Territory,$ Millions,Seasonally Adjusted,113.3
2012-07-01,Household spending,Miscellaneous goods and services,Australian Capital Territory,$ Millions,Seasonally Adjusted,83.0
